County_name,TotalHousing10,Owners10,renters10,Name,STCO,CSA,CSA_name
Ramsey,216802,126570,76812,"Ramsey County, Minnesota",27123,378,"Minneapolis-St. Paul, MN-WI"
Rice,24151,17123,5090,"Rice County, Minnesota",27131,378,"Minneapolis-St. Paul, MN-WI"
Scott,46211,37937,5877,"Scott County, Minnesota",27139,378,"Minneapolis-St. Paul, MN-WI"
Sherburne,32006,24929,4295,"Sherburne County, Minnesota",27141,378,"Minneapolis-St. Paul, MN-WI"
Sibley,6556,5009,1108,"Sibley County, Minnesota",27143,378,"Minneapolis-St. Paul, MN-WI"
Stearns,61008,41118,15247,"Stearns County, Minnesota",27145,378,"Minneapolis-St. Paul, MN-WI"
Washington,90719,72835,13480,"Washington County, Minnesota",27163,378,"Minneapolis-St. Paul, MN-WI"
Wright,48213,37815,6598,"Wright County, Minnesota",27171,378,"Minneapolis-St. Paul, MN-WI"
Bureau,15686,10959,3621,"Bureau County, Illinois",17011,176,"Chicago-Naperville, IL-IN-WI"
DeKalb,40297,23723,14102,"DeKalb County, Illinois",17037,176,"Chicago-Naperville, IL-IN-WI"
DuPage,355804,255354,80099,"DuPage County, Illinois",17043,176,"Chicago-Naperville, IL-IN-WI"
Grundy,19496,13794,4167,"Grundy County, Illinois",17063,176,"Chicago-Naperville, IL-IN-WI"
Kane,178651,131189,37791,"Kane County, Illinois",17089,176,"Chicago-Naperville, IL-IN-WI"
Kankakee,44849,28417,12526,"Kankakee County, Illinois",17091,176,"Chicago-Naperville, IL-IN-WI"
Kendall,37822,30614,5073,"Kendall County, Illinois",17093,176,"Chicago-Naperville, IL-IN-WI"
Lake,257971,187452,51794,"Lake County, Illinois",17097,176,"Chicago-Naperville, IL-IN-WI"
LaSalle,49766,34593,10733,"LaSalle County, Illinois",17099,176,"Chicago-Naperville, IL-IN-WI"
McHenry,114791,90930,17176,"McHenry County, Illinois",17111,176,"Chicago-Naperville, IL-IN-WI"
Putnam,3071,2026,509,"Putnam County, Illinois",17155,176,"Chicago-Naperville, IL-IN-WI"
Will,233921,187125,33010,"Will County, Illinois",17197,176,"Chicago-Naperville, IL-IN-WI"
Bryan,19079,10678,5382,"Bryan County, Oklahoma",40013,206,"Dallas-Fort Worth, TX-OK"
Berks,163574,112068,41239,"Berks County, Pennsylvania",42011,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bucks,244251,180092,49460,"Bucks County, Pennsylvania",42017,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Chester,189259,139743,41393,"Chester County, Pennsylvania",42029,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Delaware,222545,148298,58244,"Delaware County, Pennsylvania",42045,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Franklin,61830,43298,14992,"Franklin County, Pennsylvania",42055,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,322452,227627,79034,"Montgomery County, Pennsylvania",42091,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Philadelphia,668944,317755,256733,"Philadelphia County, Pennsylvania",42101,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bristol,20704,13863,5373,"Bristol County, Rhode Island",44001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,73406,50970,18139,"Kent County, Rhode Island",44003,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Newport,41539,22127,12644,"Newport County, Rhode Island",44005,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Providence,263448,132204,105855,"Providence County, Rhode Island",44007,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Washington,61637,37381,11749,"Washington County, Rhode Island",44009,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Belknap,36796,19173,5769,"Belknap County, New Hampshire",33001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Hillsborough,164603,105611,47509,"Hillsborough County, New Hampshire",33011,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Merrimack,62883,41020,15928,"Merrimack County, New Hampshire",33013,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Rockingham,125410,90156,24566,"Rockingham County, New Hampshire",33015,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Strafford,51074,31280,15296,"Strafford County, New Hampshire",33017,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Atlantic,125826,71885,29760,"Atlantic County, New Jersey",34001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bergen,351122,225252,108622,"Bergen County, New Jersey",34003,408,"New York-Newark, NY-NJ-CT-PA"
Burlington,174382,130578,34706,"Burlington County, New Jersey",34005,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Camden,204435,132908,57762,"Camden County, New Jersey",34007,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cape May,98394,33769,11651,"Cape May County, New Jersey",34009,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cumberland,55406,34261,16564,"Cumberland County, New Jersey",34011,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Essex,311738,130969,146457,"Essex County, New Jersey",34013,408,"New York-Newark, NY-NJ-CT-PA"
Gloucester,108337,83046,19586,"Gloucester County, New Jersey",34015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Hudson,264844,81643,156083,"Hudson County, New Jersey",34017,408,"New York-Newark, NY-NJ-CT-PA"
Hunterdon,49159,40367,6815,"Hunterdon County, New Jersey",34019,408,"New York-Newark, NY-NJ-CT-PA"
Mercer,142377,87700,41513,"Mercer County, New Jersey",34021,408,"New York-Newark, NY-NJ-CT-PA"
Middlesex,292495,185819,91579,"Middlesex County, New Jersey",34023,408,"New York-Newark, NY-NJ-CT-PA"
Monmouth,256504,176366,56147,"Monmouth County, New Jersey",34025,408,"New York-Newark, NY-NJ-CT-PA"
Morris,188329,136806,41832,"Morris County, New Jersey",34027,408,"New York-Newark, NY-NJ-CT-PA"
Ocean,275793,183327,39069,"Ocean County, New Jersey",34029,408,"New York-Newark, NY-NJ-CT-PA"
Passaic,175223,89195,72233,"Passaic County, New Jersey",34031,408,"New York-Newark, NY-NJ-CT-PA"
Salem,27293,18649,6468,"Salem County, New Jersey",34033,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Somerset,122244,91186,23245,"Somerset County, New Jersey",34035,408,"New York-Newark, NY-NJ-CT-PA"
Sussex,61567,47360,8482,"Sussex County, New Jersey",34037,408,"New York-Newark, NY-NJ-CT-PA"
Union,198668,113665,71143,"Union County, New Jersey",34039,408,"New York-Newark, NY-NJ-CT-PA"
Warren,44897,31528,10073,"Warren County, New Jersey",34041,408,"New York-Newark, NY-NJ-CT-PA"
Bronx,509665,97786,374678,"Bronx County, New York",36005,408,"New York-Newark, NY-NJ-CT-PA"
Dutchess,116946,75478,31474,"Dutchess County, New York",36027,408,"New York-Newark, NY-NJ-CT-PA"
Kings,986482,274203,629788,"Kings County, New York",36047,408,"New York-Newark, NY-NJ-CT-PA"
Nassau,466721,363366,79467,"Nassau County, New York",36059,408,"New York-Newark, NY-NJ-CT-PA"
New York,839013,167031,565173,"New York County, New York",36061,408,"New York-Newark, NY-NJ-CT-PA"
Orange,135562,88633,35746,"Orange County, New York",36071,408,"New York-Newark, NY-NJ-CT-PA"
Putnam,37881,29543,5364,"Putnam County, New York",36079,408,"New York-Newark, NY-NJ-CT-PA"
Queens,832357,352110,422201,"Queens County, New York",36081,408,"New York-Newark, NY-NJ-CT-PA"
Richmond,175907,115527,48752,"Richmond County, New York",36085,408,"New York-Newark, NY-NJ-CT-PA"
Rockland,102533,69300,28257,"Rockland County, New York",36087,408,"New York-Newark, NY-NJ-CT-PA"
Suffolk,564684,403093,92196,"Suffolk County, New York",36103,408,"New York-Newark, NY-NJ-CT-PA"
Sullivan,48675,20073,9649,"Sullivan County, New York",36105,408,"New York-Newark, NY-NJ-CT-PA"
Ulster,83007,49203,21488,"Ulster County, New York",36111,408,"New York-Newark, NY-NJ-CT-PA"
Westchester,368498,216753,129042,"Westchester County, New York",36119,408,"New York-Newark, NY-NJ-CT-PA"
Harris,1556374,793400,578763,"Harris County, Texas",48201,288,"Houston-The Woodlands, TX"
Henderson,39193,23678,6862,"Henderson County, Texas",48213,206,"Dallas-Fort Worth, TX-OK"
Hood,23888,15880,4360,"Hood County, Texas",48221,206,"Dallas-Fort Worth, TX-OK"
Hopkins,14945,9280,3765,"Hopkins County, Texas",48223,206,"Dallas-Fort Worth, TX-OK"
Hunt,36134,21412,8979,"Hunt County, Texas",48231,206,"Dallas-Fort Worth, TX-OK"
Johnson,55026,38608,11817,"Johnson County, Texas",48251,206,"Dallas-Fort Worth, TX-OK"
Kaufman,36620,25697,7434,"Kaufman County, Texas",48257,206,"Dallas-Fort Worth, TX-OK"
Liberty,28449,18971,5063,"Liberty County, Texas",48291,288,"Houston-The Woodlands, TX"
Matagorda,18834,9877,3909,"Matagorda County, Texas",48321,288,"Houston-The Woodlands, TX"
Montgomery,167390,113868,36678,"Montgomery County, Texas",48339,288,"Houston-The Woodlands, TX"
Navarro,20004,12381,4932,"Navarro County, Texas",48349,206,"Dallas-Fort Worth, TX-OK"
Palo Pinto,15056,7180,3333,"Palo Pinto County, Texas",48363,206,"Dallas-Fort Worth, TX-OK"
Parker,44324,32502,7987,"Parker County, Texas",48367,206,"Dallas-Fort Worth, TX-OK"
Rockwall,26351,20906,3884,"Rockwall County, Texas",48397,206,"Dallas-Fort Worth, TX-OK"
Somervell,3502,2251,672,"Somervell County, Texas",48425,206,"Dallas-Fort Worth, TX-OK"
Tarrant,696556,400711,231807,"Tarrant County, Texas",48439,206,"Dallas-Fort Worth, TX-OK"
Trinity,8661,4156,968,"Trinity County, Texas",48455,288,"Houston-The Woodlands, TX"
Walker,23608,11534,8368,"Walker County, Texas",48471,288,"Houston-The Woodlands, TX"
Waller,15329,9256,4243,"Waller County, Texas",48473,288,"Houston-The Woodlands, TX"
Washington,15130,8916,3939,"Washington County, Texas",48477,288,"Houston-The Woodlands, TX"
Wharton,17089,10261,4547,"Wharton County, Texas",48481,288,"Houston-The Woodlands, TX"
Wise,23118,15967,3745,"Wise County, Texas",48497,206,"Dallas-Fort Worth, TX-OK"
Arlington,102156,43168,48724,"Arlington County, Virginia",51013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Clarke,6185,4195,1340,"Clarke County, Virginia",51043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Culpeper,17446,11498,4336,"Culpeper County, Virginia",51047,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,404109,274448,107320,"Fairfax County, Virginia",51059,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fauquier,25408,17633,4736,"Fauquier County, Virginia",51061,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,30472,22495,6063,"Frederick County, Virginia",51069,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Loudoun,104906,77022,18308,"Loudoun County, Virginia",51107,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince William,133878,93372,31507,"Prince William County, Virginia",51153,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Rappahannock,3771,2294,869,"Rappahannock County, Virginia",51157,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Spotsylvania,44644,32759,8250,"Spotsylvania County, Virginia",51177,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Stafford,43093,31502,8681,"Stafford County, Virginia",51179,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Warren,15755,10591,3569,"Warren County, Virginia",51187,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Alexandria,71537,29103,34635,"Alexandria city, Virginia",51510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,8670,6148,2376,"Fairfax city, Virginia",51600,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Falls Church,5342,3006,1700,"Falls Church city, Virginia",51610,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fredericksburg,10167,3592,5614,"Fredericksburg city, Virginia",51630,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas,13024,8003,3729,"Manassas city, Virginia",51683,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas Park,4806,2993,1213,"Manassas Park city, Virginia",51685,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Winchester,11792,5173,5048,"Winchester city, Virginia",51840,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Island,39225,24364,8612,"Island County, Washington",53029,500,"Seattle-Tacoma, WA"
King,835564,468539,313438,"King County, Washington",53033,500,"Seattle-Tacoma, WA"
Kitsap,105342,65529,30229,"Kitsap County, Washington",53035,500,"Seattle-Tacoma, WA"
Lewis,33299,21146,8144,"Lewis County, Washington",53041,500,"Seattle-Tacoma, WA"
Mason,31527,17632,4176,"Mason County, Washington",53045,500,"Seattle-Tacoma, WA"
Pierce,320424,187140,108414,"Pierce County, Washington",53053,500,"Seattle-Tacoma, WA"
Skagit,50393,31709,13544,"Skagit County, Washington",53057,500,"Seattle-Tacoma, WA"
Snohomish,281161,179763,84168,"Snohomish County, Washington",53061,500,"Seattle-Tacoma, WA"
Thurston,104751,66350,32141,"Thurston County, Washington",53067,500,"Seattle-Tacoma, WA"
Berkeley,43469,29297,9433,"Berkeley County, West Virginia",54003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Hampshire,13339,6594,3161,"Hampshire County, West Virginia",54027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Jefferson,21608,14903,4261,"Jefferson County, West Virginia",54037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Kenosha,68650,42294,19932,"Kenosha County, Wisconsin",55059,176,"Chicago-Naperville, IL-IN-WI"
Pierce,15928,11361,3456,"Pierce County, Wisconsin",55093,378,"Minneapolis-St. Paul, MN-WI"
St. Croix,33495,24771,7053,"St. Croix County, Wisconsin",55109,378,"Minneapolis-St. Paul, MN-WI"
Austin,12469,8093,2354,"Austin County, Texas",48015,288,"Houston-The Woodlands, TX"
Brazoria,114533,77062,24594,"Brazoria County, Texas",48039,288,"Houston-The Woodlands, TX"
Chambers,12883,9554,1526,"Chambers County, Texas",48071,288,"Houston-The Woodlands, TX"
Collin,287263,189724,78318,"Collin County, Texas",48085,206,"Dallas-Fort Worth, TX-OK"
Cooke,16406,10228,4319,"Cooke County, Texas",48097,206,"Dallas-Fort Worth, TX-OK"
Dallas,932072,454958,377402,"Dallas County, Texas",48113,206,"Dallas-Fort Worth, TX-OK"
Denton,242641,148766,76074,"Denton County, Texas",48121,206,"Dallas-Fort Worth, TX-OK"
Ellis,52436,36986,11517,"Ellis County, Texas",48139,206,"Dallas-Fort Worth, TX-OK"
Fort Bend,178626,135409,32211,"Fort Bend County, Texas",48157,288,"Houston-The Woodlands, TX"
Galveston,130158,74086,32531,"Galveston County, Texas",48167,288,"Houston-The Woodlands, TX"
Grayson,53103,32076,13469,"Grayson County, Texas",48181,206,"Dallas-Fort Worth, TX-OK"
