County_name,2000,STCO,CSA,CSA_Name,2010,2000-2010_NET,2000-2010_%
Alameda,1443741,06001,488,"San Jose-San Francisco-Oakland, CA",1510271,66530,0.04608167254375958
Contra Costa,948816,06013,488,"San Jose-San Francisco-Oakland, CA",1049025,100209,0.10561478727171549
Los Angeles,9519338,06037,348,"Los Angeles-Long Beach, CA",9818605,299267,0.031437795359299144
Marin,247289,06041,488,"San Jose-San Francisco-Oakland, CA",252409,5120,0.020704519812850552
Napa,124279,06055,488,"San Jose-San Francisco-Oakland, CA",136484,12205,0.09820645483146791
Orange,2846289,06059,348,"Los Angeles-Long Beach, CA",3010232,163943,0.057598859427134774
Riverside,1545387,06065,348,"Los Angeles-Long Beach, CA",2189641,644254,0.4168884557719199
San Benito,53234,06069,488,"San Jose-San Francisco-Oakland, CA",55269,2035,0.03822744862306045
San Bernardino,1709434,06071,348,"Los Angeles-Long Beach, CA",2035210,325776,0.190575360031449
San Francisco,776733,06075,488,"San Jose-San Francisco-Oakland, CA",805235,28502,0.03669472006468117
San Joaquin,563598,06077,488,"San Jose-San Francisco-Oakland, CA",685306,121708,0.21594824680002414
San Mateo,707161,06081,488,"San Jose-San Francisco-Oakland, CA",718451,11290,0.015965246952249913
Santa Clara,1682585,06085,488,"San Jose-San Francisco-Oakland, CA",1781642,99057,0.058871914346080585
Santa Cruz,255602,06087,488,"San Jose-San Francisco-Oakland, CA",262382,6780,0.026525614040578713
Solano,394542,06095,488,"San Jose-San Francisco-Oakland, CA",413344,18802,0.04765525596767898
Sonoma,458614,06097,488,"San Jose-San Francisco-Oakland, CA",483878,25264,0.05508772082840908
Ventura,753197,06111,348,"Los Angeles-Long Beach, CA",823318,70121,0.0930978216854289
Adams,363857,08001,216,"Denver-Aurora, CO",441603,77746,0.2136718546022201
Arapahoe,487967,08005,216,"Denver-Aurora, CO",572003,84036,0.17221656382501277
Boulder,291288,08013,216,"Denver-Aurora, CO",294567,3279,0.011256900387245613
Clear Creek,9322,08019,216,"Denver-Aurora, CO",9088,-234,-0.02510190946148895
Denver,554636,08031,216,"Denver-Aurora, CO",600158,45522,0.08207545128697019
Douglas,175766,08035,216,"Denver-Aurora, CO",285465,109699,0.6241195680620826
Elbert,19872,08039,216,"Denver-Aurora, CO",23086,3214,0.16173510466988728
Gilpin,4757,08047,216,"Denver-Aurora, CO",5441,684,0.14378810174479714
Jefferson,527056,08059,216,"Denver-Aurora, CO",534543,7487,0.01420532163565162
Park,14523,08093,216,"Denver-Aurora, CO",16206,1683,0.11588514769675687
Weld,180936,08123,216,"Denver-Aurora, CO",252825,71889,0.39731728345934475
Fairfield,882567,09001,408,"New York-Newark, NY-NJ-CT-PA",916829,34262,0.03882084872876507
Litchfield,182193,09005,408,"New York-Newark, NY-NJ-CT-PA",189927,7734,0.04244949037559072
New Haven,824008,09009,408,"New York-Newark, NY-NJ-CT-PA",862477,38469,0.04668522635702566
Windham,109091,09015,148,"Boston-Worcester-Providence, MA-RI-NH-CT",118428,9337,0.08558909534242055
Kent,126697,10001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",162310,35613,0.28108794999092324
New Castle,500265,10003,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",538479,38214,0.07638751461725285
District of Columbia,572059,11001,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",601723,29664,0.051854791201606826
Broward,1623018,12011,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",1748066,125048,0.07704658851596224
Indian River,112947,12061,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",138028,25081,0.2220599042028562
Martin,126731,12085,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",146318,19587,0.1545557124933915
Miami-Dade,2253362,12086,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2496435,243073,0.1078712608094039
Okeechobee,35910,12093,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",39996,4086,0.11378446115288221
Palm Beach,1131184,12099,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",1320134,188950,0.16703736969405508
St. Lucie,192695,12111,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",277789,85094,0.441599418770596
Barrow,46144,13013,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",69367,23223,0.5032723647711512
Bartow,76019,13015,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",100157,24138,0.31752588168747287
Butts,19522,13035,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",23655,4133,0.2117098657924393
Carroll,87268,13045,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",110527,23259,0.26652381170646744
Cherokee,141903,13057,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",214346,72443,0.5105107009717906
Clarke,101489,13059,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",116714,15225,0.15001625791957748
Clayton,236517,13063,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",259424,22907,0.09685138911790696
Cobb,607751,13067,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",688078,80327,0.13217090551887203
Coweta,89215,13077,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",127317,38102,0.4270806478731155
Dawson,15999,13085,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",22330,6331,0.3957122320145009
DeKalb,665865,13089,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",691893,26028,0.03908900452794485
Douglas,92174,13097,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",132403,40229,0.43644628637142796
Fayette,91263,13113,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",106567,15304,0.16769117824309962
Forsyth,98407,13117,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",175511,77104,0.7835214974544494
Fulton,816006,13121,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",920581,104575,0.12815469494096857
Gordon,44104,13129,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",55186,11082,0.25126972610194087
Gwinnett,588448,13135,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",805321,216873,0.3685508320191419
Hall,139277,13139,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",179684,40407,0.2901196895395507
Haralson,25690,13143,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",28780,3090,0.12028026469443363
Heard,11012,13149,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",11834,822,0.07464584090083545
Henry,119341,13151,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",203922,84581,0.7087337964320728
Jackson,41589,13157,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",60485,18896,0.4543509100964197
Jasper,11426,13159,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13900,2474,0.21652371783651322
Lamar,15912,13171,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",18317,2405,0.1511437908496732
Madison,25730,13195,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",28120,2390,0.09288767975126312
Meriwether,22534,13199,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",21992,-542,-0.0240525428241768
Morgan,15457,13211,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",17868,2411,0.15598110888270686
Newton,62001,13217,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",99958,37957,0.6121998032289802
Oconee,26225,13219,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",32808,6583,0.2510200190657769
Oglethorpe,12635,13221,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",14899,2264,0.17918480411555204
Paulding,81678,13223,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",142324,60646,0.7425010406719068
Pickens,22983,13227,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",29431,6448,0.280555192968716
Pike,13688,13231,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",17869,4181,0.3054500292226768
Polk,38127,13233,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",41475,3348,0.08781178692265323
Rockdale,70111,13247,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",85215,15104,0.21542981843077405
Spalding,58417,13255,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",64073,5656,0.09682113083520208
Troup,58779,13285,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",67044,8265,0.14061144286224672
Upson,27597,13293,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",27153,-444,-0.0160887052940537
Walton,60687,13297,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",83768,23081,0.38032857119317154
Bureau,35503,17011,176,"Chicago-Naperville, IL-IN-WI",34978,-525,-0.014787482747936793
Cook,5376741,17031,176,"Chicago-Naperville, IL-IN-WI",5194675,-182066,-0.03386177612051613
DeKalb,88969,17037,176,"Chicago-Naperville, IL-IN-WI",105160,16191,0.18198473625644887
DuPage,904161,17043,176,"Chicago-Naperville, IL-IN-WI",916924,12763,0.014115848836656304
Grundy,37535,17063,176,"Chicago-Naperville, IL-IN-WI",50063,12528,0.3337684827494339
Kane,404119,17089,176,"Chicago-Naperville, IL-IN-WI",515269,111150,0.2750427473095796
Kankakee,103833,17091,176,"Chicago-Naperville, IL-IN-WI",113449,9616,0.09261024915007753
Kendall,54544,17093,176,"Chicago-Naperville, IL-IN-WI",114736,60192,1.1035494279847462
Lake,644356,17097,176,"Chicago-Naperville, IL-IN-WI",703462,59106,0.09172879588302119
LaSalle,111509,17099,176,"Chicago-Naperville, IL-IN-WI",113924,2415,0.021657444690563094
McHenry,260077,17111,176,"Chicago-Naperville, IL-IN-WI",308760,48683,0.18718687158033967
Putnam,6086,17155,176,"Chicago-Naperville, IL-IN-WI",6006,-80,-0.013144922773578704
Will,502266,17197,176,"Chicago-Naperville, IL-IN-WI",677560,175294,0.34900630343284234
Jasper,30043,18073,176,"Chicago-Naperville, IL-IN-WI",33478,3435,0.11433611823053623
Lake,484564,18089,176,"Chicago-Naperville, IL-IN-WI",496005,11441,0.02361091620508333
LaPorte,110106,18091,176,"Chicago-Naperville, IL-IN-WI",111467,1361,0.012360815941002306
Newton,14566,18111,176,"Chicago-Naperville, IL-IN-WI",14244,-322,-0.022106274886722503
Porter,146798,18127,176,"Chicago-Naperville, IL-IN-WI",164343,17545,0.11951797708415646
Anne Arundel,489656,24003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",537656,48000,0.09802800333295211
Baltimore,754292,24005,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",805029,50737,0.06726440158453224
Calvert,74563,24009,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",88737,14174,0.19009428268712364
Carroll,150897,24013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",167134,16237,0.1076031995334566
Cecil,85951,24015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",101108,15157,0.17634466149317635
Charles,120546,24017,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",146551,26005,0.21572677650025715
Dorchester,30674,24019,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",32618,1944,0.06337614918171741
Frederick,195277,24021,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",233385,38108,0.19514843017866929
Harford,218590,24025,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",244826,26236,0.1200237888284002
Howard,247842,24027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",287085,39243,0.15833878035199844
Montgomery,873341,24031,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",971777,98436,0.11271198764285657
Prince George's,801515,24033,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",863420,61905,0.07723498624479891
Queen Anne's,40563,24035,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47798,7235,0.1783645193895915
St. Mary's,86211,24037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",105151,18940,0.21969354258737284
Talbot,33812,24041,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",37782,3970,0.1174139358807524
Washington,131923,24043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",147430,15507,0.11754584113460124
Baltimore,651154,24510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",620961,-30193,-0.04636844740261136
Barnstable,222230,25001,148,"Boston-Worcester-Providence, MA-RI-NH-CT",215888,-6342,-0.02853800116995905
Bristol,534678,25005,148,"Boston-Worcester-Providence, MA-RI-NH-CT",548285,13607,0.02544896180504902
Essex,723419,25009,148,"Boston-Worcester-Providence, MA-RI-NH-CT",743159,19740,0.0272870908837064
Middlesex,1465396,25017,148,"Boston-Worcester-Providence, MA-RI-NH-CT",1503085,37689,0.025719327744855316
Norfolk,650308,25021,148,"Boston-Worcester-Providence, MA-RI-NH-CT",670850,20542,0.031588109019110945
Plymouth,472822,25023,148,"Boston-Worcester-Providence, MA-RI-NH-CT",494919,22097,0.04673428901362458
Suffolk,689807,25025,148,"Boston-Worcester-Providence, MA-RI-NH-CT",722023,32216,0.04670291835252469
Worcester,750963,25027,148,"Boston-Worcester-Providence, MA-RI-NH-CT",798552,47589,0.06337063210837285
Genesee,436141,26049,220,"Detroit-Warren-Ann Arbor, MI",425790,-10351,-0.023733150517837122
Lapeer,87904,26087,220,"Detroit-Warren-Ann Arbor, MI",88319,415,0.0047210593374590465
Lenawee,98890,26091,220,"Detroit-Warren-Ann Arbor, MI",99892,1002,0.010132470421680655
Livingston,156951,26093,220,"Detroit-Warren-Ann Arbor, MI",180967,24016,0.15301590942396034
Macomb,788149,26099,220,"Detroit-Warren-Ann Arbor, MI",840978,52829,0.0670292038688116
Monroe,145945,26115,220,"Detroit-Warren-Ann Arbor, MI",152021,6076,0.04163212168967762
Oakland,1194156,26125,220,"Detroit-Warren-Ann Arbor, MI",1202362,8206,0.0068717989944362375
